Taxon	Species	Genus	Family	Museum Number	Locality	Formation	Age		Lithology	Grain Size	Specimen Info. I eventually stopped recording this.	Publication. I also eventually stopped recording this.	Notes	Preservational State/Notes	More Notes	Strat Citation		Subperiod	*For questions or copies of photographs corresponding to specimens contact J. Thompson
Polytaxicidaris lirata	lirata	Polytaxicidaris	Archaeocidaridae	USNM 144230b	"Roadside on Oklahoma Highway 10, NW 1/4 28-20E-15N, Muskogee County, Oklahoma"	Pitkin Formation	Serpukhovian		Carbonate	Fine Grained	Whole Test	"Kier, 1965"				"Niko and Mapes, 2005"		Mississippian	
Polytaxicidaris lirata	lirata	Polytaxicidaris	Archaeocidaridae	USNM 144198a	"Roadside on Oklahoma Highway 10, NW 1/4 28-20E-15N, Muskogee County, Oklahoma"	Pitkin Formation	Serpukhovian		Carbonate	Fine Grained	Whole Test	"Kier, 1965"				"Niko and Mapes, 2005"		Mississippian	
Polytaxicidaris lirata	lirata	Polytaxicidaris	Archaeocidaridae	USNM 144198b	"Roadside on Oklahoma Highway 10, NW 1/4 28-20E-15N, Muskogee County, Oklahoma"	Pitkin Formation	Serpukhovian		Carbonate	Fine Grained	Whole Test	"Kier, 1965"				"Niko and Mapes, 2005"		Mississippian	
Polytaxicidaris lirata	lirata	Polytaxicidaris	Archaeocidaridae	USNM 144198c	"Roadside on Oklahoma Highway 10, NW 1/4 28-20E-15N, Muskogee County, Oklahoma"	Pitkin Formation	Serpukhovian		Carbonate	Fine Grained	Whole Test	"Kier, 1965"				"Niko and Mapes, 2005"		Mississippian	
Polytaxicidaris lirata	lirata	Polytaxicidaris	Archaeocidaridae	USNM 144198d	"Roadside on Oklahoma Highway 10, NW 1/4 28-20E-15N, Muskogee County, Oklahoma"	Pitkin Formation	Serpukhovian		Carbonate	Fine Grained	Whole Test	"Kier, 1965"				"Niko and Mapes, 2005"		Mississippian	
Polytaxicidaris lirata	lirata	Polytaxicidaris	Archaeocidaridae	USNM 144200a	"Roadside on Oklahoma Highway 10, NW 1/4 28-20E-15N, Muskogee County, Oklahoma"	Pitkin Formation	Serpukhovian		Carbonate	Fine Grained	Whole Test	"Kier, 1965"				"Niko and Mapes, 2005"		Mississippian	
Polytaxicidaris lirata	lirata	Polytaxicidaris	Archaeocidaridae	USNM 144200b	"Roadside on Oklahoma Highway 10, NW 1/4 28-20E-15N, Muskogee County, Oklahoma"	Pitkin Formation	Serpukhovian		Carbonate	Fine Grained	Whole Test	"Kier, 1965"				"Niko and Mapes, 2005"		Mississippian	
Polytaxicidaris lirata	lirata	Polytaxicidaris	Archaeocidaridae	USNM 144200c	"Roadside on Oklahoma Highway 10, NW 1/4 28-20E-15N, Muskogee County, Oklahoma"	Pitkin Formation	Serpukhovian		Carbonate	Fine Grained	Whole Test	"Kier, 1965"				"Niko and Mapes, 2005"		Mississippian	
Polytaxicidaris lirata	lirata	Polytaxicidaris	Archaeocidaridae	USNM 144531	"Roadside on Oklahoma Highway 10, NW 1/4 28-20E-15N, Muskogee County, Oklahoma"	Pitkin Formation	Serpukhovian		Carbonate	Fine Grained	Whole Test	"Kier, 1965"				"Niko and Mapes, 2005"		Mississippian	
Polytaxicidaris lirata	lirata	Polytaxicidaris	Archaeocidaridae	USNM 144199a	"Roadside on Oklahoma Highway 10, NW 1/4 28-20E-15N, Muskogee County, Oklahoma"	Pitkin Formation	Serpukhovian		Carbonate	Fine Grained	Whole Test	"Kier, 1965"				"Niko and Mapes, 2005"		Mississippian	
Polytaxicidaris lirata	lirata	Polytaxicidaris	Archaeocidaridae	USNM 144199b	"Roadside on Oklahoma Highway 10, NW 1/4 28-20E-15N, Muskogee County, Oklahoma"	Pitkin Formation	Serpukhovian		Carbonate	Fine Grained	Whole Test	"Kier, 1965"				"Niko and Mapes, 2005"		Mississippian	
Polytaxicidaris lirata	lirata	Polytaxicidaris	Archaeocidaridae	USNM 144199c	"Roadside on Oklahoma Highway 10, NW 1/4 28-20E-15N, Muskogee County, Oklahoma"	Pitkin Formation	Serpukhovian		Carbonate	Fine Grained	Whole Test	"Kier, 1965"				"Niko and Mapes, 2005"		Mississippian	
Polytaxicidaris lirata	lirata	Polytaxicidaris	Archaeocidaridae	USNM 144199d	"Roadside on Oklahoma Highway 10, NW 1/4 28-20E-15N, Muskogee County, Oklahoma"	Pitkin Formation	Serpukhovian		Carbonate	Fine Grained	Whole Test	"Kier, 1965"				"Niko and Mapes, 2005"		Mississippian	
Polytaxicidaris lirata	lirata	Polytaxicidaris	Archaeocidaridae	USNM 144199e	"Roadside on Oklahoma Highway 10, NW 1/4 28-20E-15N, Muskogee County, Oklahoma"	Pitkin Formation	Serpukhovian		Carbonate	Fine Grained	Whole Test	"Kier, 1965"				"Niko and Mapes, 2005"		Mississippian	
Polytaxicidaris lirata	lirata	Polytaxicidaris	Archaeocidaridae	USNM 144199f	"Roadside on Oklahoma Highway 10, NW 1/4 28-20E-15N, Muskogee County, Oklahoma"	Pitkin Formation	Serpukhovian		Carbonate	Fine Grained	Whole Test	"Kier, 1965"				"Niko and Mapes, 2005"		Mississippian	
Polytaxicidaris lirata	lirata	Polytaxicidaris	Archaeocidaridae	USNM 144199g	"Roadside on Oklahoma Highway 10, NW 1/4 28-20E-15N, Muskogee County, Oklahoma"	Pitkin Formation	Serpukhovian		Carbonate	Fine Grained	Whole Test	"Kier, 1965"				"Niko and Mapes, 2005"		Mississippian	
Palaechinus sprengi	sprengi	Palaechinus	Palaechinidae	USNM 144192	"100 Feet stratigraphically below top of section, Southwest 1/4 section 25, T 11 N, R 7 E., about 3.5 miles due east of Randoplh Utah, up canyon on the east side of Bear River Valley, Randolph Quadrangle Utah"	Lodgepole Formation	Tournaisian		Carbonate	?	Whole Test	"Kier, 1965"				"Saltzman, 2002"		Mississippian	
Palaechinus merriami	merriami	Palaechinus	Palaechinidae	USNM 136437	"East of old stone quarry in foothills at low strike ridge formed by Joana Limestone on west side of Pancake Range near south end of Newark Valley, southeast corner Seligman Number 2 quadrangle, Nevada"	Joana Limestone	Tournaisian		Carbonate	?	Whole Test	"Kier, 1965"				"Saltzman, 2002"		Mississippian	
Lovenechinus gordoni	gordoni	Lovenechinus	Palaechinidae	USNM 144191	"75 feet of dark gary shale, top of which was 30 feet below 20 foot conglomerate below Permian limestone, Slope of north side of drainage in N 1/2 NW 1/4 sec. 11, T/29 N., R. 52E, Pine Valley quadrangle, Nevada."	?	Osagean?		? (maybe siliciclastic)	Fine Grained	Partial Test	"Kier, 1965"						Mississippian	
Hyattechinus laudoni	laudoni	Hyattechinus	Hyattechinidae	USNM 144224	"Fairy Lake area, Montana"	Lodgepole Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier, 1965"				"Saltzman, 2002"		Mississippian	
Palaechinus canadensis	canadensis	Palaechinus	Palaechinidae	Sedgwick Museum No. E 14403	"Kakwa-Jarvis Lakes area, Northeast British Columbia, Canada. On the south ridge of the first mountain north of Mt. Hannington in thin-bedded, fine grained limestone about 325 feet above contact with Upper Devonian Limestone. Geological Survey of Canada locality No. 15956; Field locality n. 390. Estimated location, 54 degrees 9' north lat; 120 degrees 10' west longitude, about 3.5 miles west of British Columbia-Alberta boundary."	Banff Formation (presumably)	Tournaisian		Carbonate	Fine Grained	Partial Test	"Kier, 1953"				Johnston et al. 2010		Mississippian	
Palaechinus elegans	elegans	Palaechinus	Palaechinidae	F12901	"Hook Head, County Wexford, Ireland"	Hook Head Limestone	Tournaisian		Carbonate	Wackestone			", Hook Head, Fethard, Co. Wexford. Formation was Courceyan, Dinantian, Carboniferous "			"Buggisch et al. 2008, "		Mississippian	
Lepidocidaris squamosa	squamosa	Lepidocidaris	Archaeocidaridae	CMCIP 35541	"Burlington, Iowa"	Burlington Limestone	Tournaisian		Carbonate	Packstone	Partial Test	None	Lower Burlington Limestone			"Heckel, 2005"		Mississippian	
Archaeocidaris legrandensis	legrandensis	Archaeocidaris	Archaeocidaridae	CMCIP 1320	"Boonville, Indiana"	Keokuk Limestone	Visean		Carbonate	Wackestone	Partial Test		Original ID was A. blairi			"Lane and Brenckle, 2005"		Mississippian	
Pholidechinus brauni	brauni	Pholidechinus	Lepidocentridae	CMCIP 25016	"Crawfordsville, Indiana"	Edwardsville Formation	Visean		Siliciclastic	Fine Grained	Partial Test	None	Edwardsville Formation Rock Creek Member. Probably Near Crawfordsville (JRT)			"Ausich and Kammer, 2012"		Mississippian	
Archaeocidaris brownwoodensis	brownwoodensis	Archaeocidaris	Archaeocidaridae	CMCIP 51272	Lake Brownwood Spillway	Winchell Formation	Kasimovian		Siliciclastic	Fine Grained		None				"Barrick et al. 2008., Davydov et al. 2012"		Pennsylvanian	
Lepidesthes formosus	formosus	Lepidesthes	Lepidesthidae	CMCIP 58080	Vienna Illinois	"""Glen Dean"""	Serpukhovian		Carbonate	Fine Grained	Whole Test	None	I.D. Confirmed			Sheng et al. 2017		Mississippian	
Oligoporus blairi	blairi	Oligoporus	Palaechinidae	CMCIP 58081	"Booneville, Missouri"	Keokuk Limestone	Visean		Carbonate	?	Test Ambulacral Fragment	None	Grain Size Confirmed			"Lane and Brenckle, 2005"		Mississippian	
