Taxon,Species,Genus,Family,Museum Number,Locality,Continent,Country,lat,lng,Latlng_Precision,Group,Formation,Member,Formation_Notes,Age,max_stage,min_stage,Original Order,Finalised_lith,Lithology,Finalised_grainsize,Grain Size,Specimen Info. I eventually stopped recording this.,Publication. I also eventually stopped recording this.,Notes,Preservational State/Notes,More Notes,Strat Citation,,Subperiod,Preservation Score,Description,Period,x,Museum,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zardinechinus stanleyi,stanleyi,Zardinechinus,Triadocidaridae,USNM 465254,"Huaricolca, Cerro de Pasco, Peru",South America,Peru,-11.50761,-75.651549,Minutes,,,,"Late Triassic, Norian",Norian,Norian,Norian,2816,,,,,,,,,,,,,3,interambs,Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?Diademopsis sp.,sp.,Diademopsis,Pedinidae,USNM  465265,"Tarmatambo, near Tarma, Peru",South America,Peru,-11.472087,-75.684235,Minutes,,,,Late Triassic or Early Jurassic,,,,2792,,,,,,,,,,,,,3,"ambs, interambs",Triassic/Jurassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zardinechinus regularis,regularis,Zardinechinus,Triadocidaridae,USNM 465257,"Huanincocha, Bed HN-13",South America,Peru,-10.8667,75.9167,Seconds,,,,"Late Triassic, Norian",Norian,Norian,Norian,2809,,,,,,,,,,,,,3,"ambs, interambs",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triassicidaris peruviensis,peruviensis,Triassicidaris,Cidaridae,USNM 465250,"Huanincocha, Bed HN-41",South America,Peru,-10.8667,75.9167,Seconds,,,,"Late Triassic, Norian",Norian,Norian,Norian,2822,,,,,,,,,,,,,3,interambs,Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zardinechinus pulchellus,pulchellus,Zardinechinus,Triadocidaridae,USNM 465261,"Huanincocha, Beds HN-41-?HN-13",South America,Peru,-10.8667,75.9167,Seconds,,,,"Late Triassic, Norian",Norian,Norian,Norian,2798,,,,,,,,,,,,,3,"ambs, interambs",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zardinechinus pulchellus,pulchellus,Zardinechinus,Triadocidaridae,USNM 398501,"Huanincocha, Beds HN-41-?HN-13",South America,Peru,-10.8667,75.9167,Seconds,,,,"Late Triassic, Norian",Norian,Norian,Norian,2799,,,,,,,,,,,,,3,"ambs, interambs",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zardinechinus pulchellus,pulchellus,Zardinechinus,Triadocidaridae,USNM 398509,"Huanincocha, Beds HN-41-?HN-13",South America,Peru,-10.8667,75.9167,Seconds,,,,"Late Triassic, Norian",Norian,Norian,Norian,2800,,,,,,,,,,,,,3,interamb segment,Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zardinechinus pulchellus,pulchellus,Zardinechinus,Triadocidaridae,USNM 398510,"Huanincocha, Beds HN-41-?HN-13",South America,Peru,-10.8667,75.9167,Seconds,,,,"Late Triassic, Norian",Norian,Norian,Norian,2801,,,,,,,,,,,,,3,interamb segment,Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get et. Sp. Indet. ,?,?,?,USNM 465267,Vinchuscancha,South America,Peru,-10.666506,-76.328557,Minutes,,,,Probably Late Triassic,,,,2793,,,,,,,,,,,,,3,interambs,Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinchuscanchaia kieri,kieri,Vinchuscanchaia,Triadocidaridae,USNM 398508,Vinchuscancha,South America,Peru,-10.666506,-76.328557,Minutes,,,,Probably Late Triassic,,,,2794,,,,,,,,,,,,,3,interamb segment,Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
