Taxon,Species,Genus,Family,Museum Number,Locality,Continent,Country,lat,lng,Latlng_Precision,Group,Formation,Member,Formation_Notes,Age,max_stage,min_stage,Original Order,Finalised_lith,Lithology,Finalised_grainsize,Grain Size,Specimen Info. I eventually stopped recording this.,Publication. I also eventually stopped recording this.,Notes,Preservational State/Notes,More Notes,Strat Citation,,Subperiod,Preservation Score,Description,Period,x,Museum,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidesthes formosus,formosus,Lepidesthes,Lepidesthidae,USNM 3858a,Sloan's Valley Kentucky,North America,USA,36.938161,-84.537869,Minutes,,,,"""Glen Dean""",Serpukhovian,Serpukhovian,Serpukhovian,1368,Carbonate,Carbonate,Wackestone,Wackestone,,,,,,Sheng et al. 2017,,Mississippian,2,"(ambulcral, interambulacral plates, spines + teeth)",Mississippian,,Smithsonian National Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidesthes formosus,formosus,Lepidesthes,Lepidesthidae,USNM 3858b,Sloan's Valley Kentucky,North America,USA,36.938161,-84.537869,Minutes,,,,"""Glen Dean""",Serpukhovian,Serpukhovian,Serpukhovian,1369,Carbonate,Carbonate,Wackestone,Wackestone,,,,,,Sheng et al. 2017,,Mississippian,2,"(ambulcral, interambulacral plates, spines + teeth)",Mississippian,,Smithsonian National Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidesthes formosus,formosus,Lepidesthes,Lepidesthidae,USNM 3858c,Sloan's Valley Kentucky,North America,USA,36.938161,-84.537869,Minutes,,,,"""Glen Dean""",Serpukhovian,Serpukhovian,Serpukhovian,1370,Carbonate,Carbonate,Wackestone,Wackestone,,,,,,Sheng et al. 2017,,Mississippian,2,"(ambulcral, interambulacral plates, spines + teeth)",Mississippian,,Smithsonian National Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidesthes formosus,formosus,Lepidesthes,Lepidesthidae,USNM 3858d,Sloan's Valley Kentucky,North America,USA,36.938161,-84.537869,Minutes,,,,"""Glen Dean""",Serpukhovian,Serpukhovian,Serpukhovian,1371,Carbonate,Carbonate,Wackestone,Wackestone,"In Jackson, 1912",,,,,Sheng et al. 2017,,Mississippian,2,"(ambulcral, interambulacral plates, spines + teeth)",Mississippian,,Smithsonian National Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidesthes formosus,formosus,Lepidesthes,Lepidesthidae,USNM 3859,Sloan's Valley Kentucky,North America,USA,36.938161,-84.537869,Minutes,,,,"""Glen Dean""",Serpukhovian,Serpukhovian,Serpukhovian,1372,Carbonate,Carbonate,Wackestone,Wackestone,"In Jackson, 1912",,,,,Sheng et al. 2017,,Mississippian,2,"(ambulcral, interambulacral plates, spines + teeth)",Mississippian,,Smithsonian National Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
echinoid hemypyramid ,?,?,?,13757,4 miles NW of Copan Oklahoma,North America,USA,36.943415,-95.995816,Minutes,,Ochelata Formation,,"Ochelata Formation, Pennsylvanian",Kasimovian,Kasimovian,Kasimovian,2690,,,,?,,,,,,,,Pennsylvanian,1,hemipyramid,Pennsylvanian,,,"University of California, Museum of Paleontology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidesthes sp.,sp.,Lepidesthes,Lepidesthidae,USNM 609800,"Cave Springs South Buildup, Lake Cumberland",North America,USA,36.9530772,-84.9737796,Seconds,,Fort Payne Formation,,Fort Payne Formation,Visean,Visean,Visean,2496,Carbonate,Carbonate,Packstone,Packstone,,,,,,"Thompson and Ausich, 2016",,Mississippian,2,"ambs, lantern bits",Mississippian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaeocidaris sp.,sp.,Archaeocidaris,Archaeocidaridae,USNM 609801,"Cave Springs South Buildup, Lake Cumberland",North America,USA,36.9530772,-84.9737796,Seconds,,Fort Payne Formation,,Fort Payne Formation,Visean,Visean,Visean,2497,Carbonate,Carbonate,Wackestone,Wackestone,,,,,,"Thompson and Ausich, 2016",,Mississippian,2,"interambs, spines",Mississippian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidocidaris sp.,sp.,Lepidocidaris,Archaeocidaridae,USNM 609803,"Cave Springs South green shale facies, Lake Cumberland",North America,USA,36.9530772,-84.9737796,Seconds,,Fort Payne Formation,,Fort Payne Formation,Visean,Visean,Visean,2498,Siliciclastic,Siliciclastic,Shale,Shale,,,,,,"Thompson and Ausich, 2016",,Mississippian,2,"interambs, spines",Mississippian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palaechinid indet,?,?,Palaechinidae,USNM 8013&8014,"Tasteville, Ky.",North America,USA,36.955974,-84.577328,Seconds,,St. Genevieve Limestone,,St. Genevieve ,Visean,Visean,Visean,1290,Carbonate,Carbonate,,?,,,,,,Zeng et al. 2013,,Mississippian,3,(ambulacra + intermbulacral plates),Mississippian,,Smithsonian National Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melonechinus giganteus,giganteus,Melonechinus,Palaechinidae,MCZ Cat 101844,Bowling Green Kentucky,North America,USA,36.967687,-86.480777,Minutes,,,,Warsaw Group?,Visean,Visean,Visean,2141,Carbonate,Carbonate,,?,,,,"Jackson and Jaggar, 1896",,Brenckle et al. 2005,,Mississippian,,,Mississippian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lovenechinus nobilis,nobilis,Lovenechinus,Palaechinidae,MCZ Cat 104673,"Grace Walker Mine, Miami Oklahoma, 225 feet deep",North America,USA,36.97778,-94.81944,Seconds,,,,Carboniferous,,,,2091,Carbonate,Carbonate,,?,,,Chertified Carbonate,,,,,Mississippian,4,"ambs, interambs",Mississippian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidesthes formosus,formosus,Lepidesthes,Lepidesthidae,BMNH E 7890,"Railroad cutting, Burnside, Kentucky USA",North America,USA,36.9826,-84.58306,Minutes,,,,"""Glen Dean""",Serpukhovian,Serpukhovian,Serpukhovian,1575,Carbonate,Carbonate,Packstone,Packstone,,,"Pennington Formation, Sloans Valley Member",,,Zeng et al. 2013,,Mississippian,3,(ambulacra + interambulacral plates),Mississippian,,"Natural History Museum, London",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lovenechinus missouriensis,missouriensis,Lovenechinus,Palaechinidae,MCZ Cat 104671,"Federal Gordon mine, Picher Oklahoma, 330 ft below surface",North America,USA,36.992036,-94.852816,Seconds,,,,Carnoniferous,,,,2092,Carbonate,Carbonate,,?,,,Chertified Carbonate,,,,,Mississippian,4,"ambs, interambs",Mississippian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenticidaris utahensis,utahensis,Lenticidaris,Triadotiaridae,S5096a,"9 MI SW of St. George, Utah",North America,USA,37.001342,-113.626638,Minutes,Moenkopi Group,Virgin Limestone Formation,,"Virgin Limestone Member, Lower part of Moenkopi Group",Olenekian,Olenekian,Olenekian,2615,Carbonate,Carbonate,Mudstone,mudstone,,,,,,,,,3,"(ambulacra, interambulacral plates + spines)",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenticidaris utahensis,utahensis,Lenticidaris,Triadotiaridae,S5096b,"9 MI SW of St. George, Utah",North America,USA,37.001342,-113.626638,Minutes,Moenkopi Group,Virgin Limestone Formation,,"Virgin Limestone Member, Lower part of Moenkopi Group",Olenekian,Olenekian,Olenekian,2616,Carbonate,Carbonate,Mudstone,mudstone,,,,,,,,,5,"(ambulacra, interambulacral plates + spines)",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenticidaris utahensis,utahensis,Lenticidaris,Triadotiaridae,S5096c,"9 MI SW of St. George, Utah",North America,USA,37.001342,-113.626638,Minutes,Moenkopi Group,Virgin Limestone Formation,,"Virgin Limestone Member, Lower part of Moenkopi Group",Olenekian,Olenekian,Olenekian,2617,Carbonate,Carbonate,Mudstone,mudstone,,,,,,,,,5,"(ambulacra, interambulacral plates + spines)",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenticidaris utahensis,utahensis,Lenticidaris,Triadotiaridae,S5096d,"9 MI SW of St. George, Utah",North America,USA,37.001342,-113.626638,Minutes,Moenkopi Group,Virgin Limestone Formation,,"Virgin Limestone Member, Lower part of Moenkopi Group",Olenekian,Olenekian,Olenekian,2618,Carbonate,Carbonate,Mudstone,mudstone,,,,,,,,,5,"(ambulacra, interambulacral plates + spines)",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenticidaris utahensis,utahensis,Lenticidaris,Triadotiaridae,S5096e,"9 MI SW of St. George, Utah",North America,USA,37.001342,-113.626638,Minutes,Moenkopi Group,Virgin Limestone Formation,,"Virgin Limestone Member, Lower part of Moenkopi Group",Olenekian,Olenekian,Olenekian,2619,Carbonate,Carbonate,Mudstone,mudstone,,,,,,,,,5,"(ambulacra, interambulacral plates + spines)",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenticidaris utahensis,utahensis,Lenticidaris,Triadotiaridae,S5096f,"9 MI SW of St. George, Utah",North America,USA,37.001342,-113.626638,Minutes,Moenkopi Group,Virgin Limestone Formation,,"Virgin Limestone Member, Lower part of Moenkopi Group",Olenekian,Olenekian,Olenekian,2620,Carbonate,Carbonate,Mudstone,mudstone,,,,,,,,,5,"(ambulacra, interambulacral plates + spines)",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenticidaris utahensis,utahensis,Lenticidaris,Triadotiaridae,S5088,"9 MI SW of St. George, Utah",North America,USA,37.001342,-113.626638,Minutes,Moenkopi Group,Virgin Limestone Formation,,"Virgin Limestone Member, Lower part of Moenkopi Group",Olenekian,Olenekian,Olenekian,2621,Carbonate,Carbonate,Mudstone,mudstone,,,,,,,,,5,"(ambulacra, interambulacral plates + spines)",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenticidaris utahensis,utahensis,Lenticidaris,Triadotiaridae,S5087Aa,"9 MI SW of St. George, Utah",North America,USA,37.001342,-113.626638,Minutes,Moenkopi Group,Virgin Limestone Formation,,"Virgin Limestone Member, Lower part of Moenkopi Group",Olenekian,Olenekian,Olenekian,2622,Carbonate,Carbonate,Mudstone,mudstone,,,,,,,,,5,"(ambulacra, interambulacral plates, spines + aristitoles lantern)",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenticidaris utahensis,utahensis,Lenticidaris,Triadotiaridae,S5087Ab,"9 MI SW of St. George, Utah",North America,USA,37.001342,-113.626638,Minutes,Moenkopi Group,Virgin Limestone Formation,,"Virgin Limestone Member, Lower part of Moenkopi Group",Olenekian,Olenekian,Olenekian,2623,Carbonate,Carbonate,Mudstone,mudstone,,,,,,,,,5,"(ambulacra, interambulacral plates, spines + aristitoles lantern)",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenticidaris utahensis,utahensis,Lenticidaris,Triadotiaridae,S5087Ac,"9 MI SW of St. George, Utah",North America,USA,37.001342,-113.626638,Minutes,Moenkopi Group,Virgin Limestone Formation,,"Virgin Limestone Member, Lower part of Moenkopi Group",Olenekian,Olenekian,Olenekian,2624,Carbonate,Carbonate,Mudstone,mudstone,,,,,,,,,5,"(ambulacra, interambulacral plates, spines + aristitoles lantern)",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenticidaris utahensis,utahensis,Lenticidaris,Triadotiaridae,S5087Ad,"9 MI SW of St. George, Utah",North America,USA,37.001342,-113.626638,Minutes,Moenkopi Group,Virgin Limestone Formation,,"Virgin Limestone Member, Lower part of Moenkopi Group",Olenekian,Olenekian,Olenekian,2625,Carbonate,Carbonate,Mudstone,mudstone,,,,,,,,,3,"(ambulacra, interambulacral plates, spines + aristitoles lantern)",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenticidaris utahensis,utahensis,Lenticidaris,Triadotiaridae,S5087Ae,"9 MI SW of St. George, Utah",North America,USA,37.001342,-113.626638,Minutes,Moenkopi Group,Virgin Limestone Formation,,"Virgin Limestone Member, Lower part of Moenkopi Group",Olenekian,Olenekian,Olenekian,2626,Carbonate,Carbonate,Mudstone,mudstone,,,,,,,,,3,"(ambulacra, interambulacral plates, spines + aristitoles lantern)",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenticidaris utahensis,utahensis,Lenticidaris,Triadotiaridae,S5087Af,"9 MI SW of St. George, Utah",North America,USA,37.001342,-113.626638,Minutes,Moenkopi Group,Virgin Limestone Formation,,"Virgin Limestone Member, Lower part of Moenkopi Group",Olenekian,Olenekian,Olenekian,2627,Carbonate,Carbonate,Mudstone,mudstone,,,,,,,,,3,"(ambulacra, interambulacral plates, spines + aristitoles lantern)",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenticidaris utahensis,utahensis,Lenticidaris,Triadotiaridae,S5087Ag,"9 MI SW of St. George, Utah",North America,USA,37.001342,-113.626638,Minutes,Moenkopi Group,Virgin Limestone Formation,,"Virgin Limestone Member, Lower part of Moenkopi Group",Olenekian,Olenekian,Olenekian,2628,Carbonate,Carbonate,Mudstone,mudstone,,,,,,,,,3,"(ambulacra, interambulacral plates, spines + aristitoles lantern)",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenticidaris utahensis,utahensis,Lenticidaris,Triadotiaridae,S5087Ah,"9 MI SW of St. George, Utah",North America,USA,37.001342,-113.626638,Minutes,Moenkopi Group,Virgin Limestone Formation,,"Virgin Limestone Member, Lower part of Moenkopi Group",Olenekian,Olenekian,Olenekian,2629,Carbonate,Carbonate,Mudstone,mudstone,,,,,,,,,3,"(ambulacra, interambulacral plates, spines + aristitoles lantern)",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenticidaris utahensis,utahensis,Lenticidaris,Triadotiaridae,S5087Ai,"9 MI SW of St. George, Utah",North America,USA,37.001342,-113.626638,Minutes,Moenkopi Group,Virgin Limestone Formation,,"Virgin Limestone Member, Lower part of Moenkopi Group",Olenekian,Olenekian,Olenekian,2630,Carbonate,Carbonate,Mudstone,mudstone,,,,,,,,,3,"(ambulacra, interambulacral plates, spines + aristitoles lantern)",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenticidaris utahensis,utahensis,Lenticidaris,Triadotiaridae,S5089a,"9 MI SW of St. George, Utah",North America,USA,37.001342,-113.626638,Minutes,Moenkopi Group,Virgin Limestone Formation,,"Virgin Limestone Member, Lower part of Moenkopi Group",Olenekian,Olenekian,Olenekian,2631,Carbonate,Carbonate,Mudstone,mudstone,,,,,,,,,5,"(ambulacra, interambulacral plates, spines + aristitoles lantern)",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
